State Name,Year,yield,Avg_Annual_Temperature,Avg_Annual_Rainfall,average_price
Kerala,1998,1012.081,24.76,1208.8,9.250178760593219
Kerala,1999,1094.4435,24.67,1116.6,9.829413873148084
Kerala,2000,1066.9025,24.6,1035.4,203.62665521978022
Kerala,2001,1065.068,24.73,1105.2,307.19596972271563
Kerala,2002,1120.6095,25.0,981.9,187.87829401840492
Kerala,2003,1034.683,24.72,1243.6,184.94695330250462
Kerala,2004,1141.088,24.74,1080.5,176.54035590421142
Kerala,2005,1124.1295,24.58,1208.3,194.15448920484465
Kerala,2006,1198.4475,25.06,1161.6,238.7763065652203
Kerala,2007,1140.0235,24.77,1179.3,259.28268439756005
Kerala,2008,1217.156,24.61,1118.0,283.79670255183413
Kerala,2009,1211.976,25.11,953.7,302.0420379647749
Kerala,2010,789.4250000000001,25.13,1215.5,253.33105543535876
Kerala,2011,871.4520000000001,24.67,1116.3,128.67280691308093
Kerala,2012,831.6729999999999,24.69,1054.7,131.0606643085711
Kerala,2013,901.5603333333333,24.820000000000004,1092.5,136.6361060792586
Kerala,2014,893.8796666666667,24.73,1045.2,148.0098748510449
Kerala,2015,885.572,24.91,1189.2,112.2047103314822
Kerala,2016,975.7316666666667,25.149999999999995,1198.8,128.20569612772405
Kerala,2017,1032.4493333333332,24.790000000000003,1211.0,147.76915776901993
Madhya Pradesh,1994,1349.640810810811,24.46,1295.3,6.919554455445544
Madhya Pradesh,1995,1191.9621621621623,25.29,1242.4,7.03345156555773
Madhya Pradesh,1996,1382.2987837837838,24.55,1182.9,8.187600353243418
Madhya Pradesh,1997,1182.0089189189189,24.1,1183.1,8.944368268434134
Madhya Pradesh,1998,1277.9118918918919,24.76,1208.8,9.250178760593219
Madhya Pradesh,1999,1437.0713513513515,24.67,1116.6,9.829413873148084
Madhya Pradesh,2000,1020.4527027027027,24.6,1035.4,203.62665521978022
Madhya Pradesh,2001,1213.0206756756756,24.73,1105.2,307.19596972271563
Madhya Pradesh,2002,1034.4518918918918,25.0,981.9,187.87829401840492
Madhya Pradesh,2003,1390.5682432432434,24.72,1243.6,184.94695330250462
Madhya Pradesh,2004,1255.5462162162162,24.74,1080.5,176.54035590421142
Madhya Pradesh,2005,1253.738108108108,24.58,1208.3,194.15448920484465
Madhya Pradesh,2006,1281.361891891892,25.06,1161.6,238.7763065652203
Madhya Pradesh,2007,1039.652972972973,24.77,1179.3,259.28268439756005
Madhya Pradesh,2008,1180.152972972973,24.61,1118.0,283.79670255183413
Madhya Pradesh,2009,1405.6244594594596,25.11,953.7,302.0420379647749
Madhya Pradesh,2010,1638.090900900901,25.13,1215.5,253.33105543535876
Madhya Pradesh,2011,1992.6597297297296,24.67,1116.3,128.67280691308093
Madhya Pradesh,2012,2380.0749549549546,24.69,1054.7,131.0606643085711
Madhya Pradesh,2013,2125.3007207207206,24.820000000000004,1092.5,136.6361060792586
Madhya Pradesh,2014,2412.1768468468467,24.73,1045.2,148.0098748510449
Madhya Pradesh,2015,2399.062792792793,24.91,1189.2,112.2047103314822
Madhya Pradesh,2016,2775.4422522522523,25.149999999999995,1198.8,128.20569612772405
Madhya Pradesh,2017,2866.4224324324327,24.790000000000003,1211.0,147.76915776901993
Maharashtra,1994,1190.6496153846156,24.46,1295.3,6.919554455445544
Maharashtra,1995,1117.931923076923,25.29,1242.4,7.03345156555773
Maharashtra,1996,1281.5573076923076,24.55,1182.9,8.187600353243418
Maharashtra,1997,965.6328846153845,24.1,1183.1,8.944368268434134
Maharashtra,1998,1192.8996153846156,24.76,1208.8,9.250178760593219
Maharashtra,1999,1186.7725,24.67,1116.6,9.829413873148084
Maharashtra,2000,1033.4371153846155,24.6,1035.4,203.62665521978022
Maharashtra,2001,1203.7534615384616,24.73,1105.2,307.19596972271563
Maharashtra,2002,997.2167307692309,25.0,981.9,187.87829401840492
Maharashtra,2003,1106.904423076923,24.72,1243.6,184.94695330250462
Maharashtra,2004,1048.4911538461538,24.74,1080.5,176.54035590421142
Maharashtra,2005,1151.3323076923075,24.58,1208.3,194.15448920484465
Maharashtra,2006,1194.6159615384618,25.06,1161.6,238.7763065652203
Maharashtra,2007,1426.356346153846,24.77,1179.3,259.28268439756005
Maharashtra,2008,1144.3859615384615,24.61,1118.0,283.79670255183413
Maharashtra,2009,1162.6228846153847,25.11,953.7,302.0420379647749
Maharashtra,2010,1374.4542307692307,25.13,1215.5,253.33105543535876
Maharashtra,2011,1366.2351282051284,24.67,1116.3,128.67280691308093
Maharashtra,2012,1190.0223076923075,24.69,1054.7,131.0606643085711
Maharashtra,2013,1254.6349333333335,24.820000000000004,1092.5,136.6361060792586
Maharashtra,2014,1069.7517333333333,24.73,1045.2,148.0098748510449
Maharashtra,2015,1016.8068,24.91,1189.2,112.2047103314822
Maharashtra,2016,1499.9005128205126,25.149999999999995,1198.8,128.20569612772405
Maharashtra,2017,1365.7252,24.790000000000003,1211.0,147.76915776901993
Orissa,1994,1522.1276923076923,24.46,1295.3,6.919554455445544
Orissa,1995,1501.376923076923,25.29,1242.4,7.03345156555773
Orissa,1996,1203.9184615384615,24.55,1182.9,8.187600353243418
Orissa,1997,1382.4530769230769,24.1,1183.1,8.944368268434134
Orissa,1998,1214.188076923077,24.76,1208.8,9.250178760593219
Orissa,1999,1233.6053846153845,24.67,1116.6,9.829413873148084
Orissa,2000,1106.6996153846153,24.6,1035.4,203.62665521978022
Orissa,2001,1470.7430769230768,24.73,1105.2,307.19596972271563
Orissa,2002,1037.8107692307692,25.0,981.9,187.87829401840492
Orissa,2003,1408.6746153846154,24.72,1243.6,184.94695330250462
Orissa,2004,1390.8815384615386,24.74,1080.5,176.54035590421142
Orissa,2005,1489.4746153846154,24.58,1208.3,194.15448920484465
Orissa,2006,1482.4946153846154,25.06,1161.6,238.7763065652203
Orissa,2007,1587.106153846154,24.77,1179.3,259.28268439756005
Orissa,2008,1511.3961538461538,24.61,1118.0,283.79670255183413
Orissa,2009,1550.5807692307694,25.11,953.7,302.0420379647749
Orissa,2010,1559.3451282051283,25.13,1215.5,253.33105543535876
Orissa,2011,1588.4766666666667,24.67,1116.3,128.67280691308093
Orissa,2012,1911.134871794872,24.69,1054.7,131.0606643085711
Orissa,2013,1742.6656410256412,24.820000000000004,1092.5,136.6361060792586
Orissa,2014,1942.1392307692306,24.73,1045.2,148.0098748510449
Orissa,2015,1644.6528205128207,24.91,1189.2,112.2047103314822
Orissa,2016,1949.0453846153844,25.149999999999995,1198.8,128.20569612772405
Orissa,2017,1809.8520512820512,24.790000000000003,1211.0,147.76915776901993
Punjab,1994,3656.7004545454547,24.46,1295.3,6.919554455445544
Punjab,1995,3449.539090909091,25.29,1242.4,7.03345156555773
Punjab,1996,3738.2736363636363,24.55,1182.9,8.187600353243418
Punjab,1997,3569.545,24.1,1183.1,8.944368268434134
Punjab,1998,3680.7986363636364,24.76,1208.8,9.250178760593219
Punjab,1999,3956.2068181818186,24.67,1116.6,9.829413873148084
Punjab,2000,3948.6863636363637,24.6,1035.4,203.62665521978022
Punjab,2001,3980.801363636364,24.73,1105.2,307.19596972271563
Punjab,2002,3772.3427272727276,25.0,981.9,187.87829401840492
Punjab,2003,3881.663636363636,24.72,1243.6,184.94695330250462
Punjab,2004,3976.561818181818,24.74,1080.5,176.54035590421142
Punjab,2005,3952.8072727272724,24.58,1208.3,194.15448920484465
Punjab,2006,3948.432727272727,25.06,1161.6,238.7763065652203
Punjab,2007,4177.751818181819,24.77,1179.3,259.28268439756005
Punjab,2008,4100.0595454545455,24.61,1118.0,283.79670255183413
Punjab,2009,4106.695,25.11,953.7,302.0420379647749
Punjab,2010,4323.459696969697,25.13,1215.5,253.33105543535876
Punjab,2011,4602.06606060606,24.67,1116.3,128.67280691308093
Punjab,2012,4412.501515151515,24.69,1054.7,131.0606643085711
Punjab,2013,4561.353636363636,24.820000000000004,1092.5,136.6361060792586
Punjab,2014,4001.708484848485,24.73,1045.2,148.0098748510449
Punjab,2015,4330.404848484849,24.91,1189.2,112.2047103314822
Punjab,2016,4664.78606060606,25.149999999999995,1198.8,128.20569612772405
Punjab,2017,4757.5503030303025,24.790000000000003,1211.0,147.76915776901993
Rajasthan,1994,1704.106153846154,24.46,1295.3,6.919554455445544
Rajasthan,1995,1445.9115384615388,25.29,1242.4,7.03345156555773
Rajasthan,1996,1680.4440384615384,24.55,1182.9,8.187600353243418
Rajasthan,1997,1513.8059615384616,24.1,1183.1,8.944368268434134
Rajasthan,1998,1537.405192307692,24.76,1208.8,9.250178760593219
Rajasthan,1999,1502.2188461538462,24.67,1116.6,9.829413873148084
Rajasthan,2000,1347.2361538461537,24.6,1035.4,203.62665521978022
Rajasthan,2001,1656.1813461538459,24.73,1105.2,307.19596972271563
Rajasthan,2002,1375.603076923077,25.0,981.9,187.87829401840492
Rajasthan,2003,1742.3596153846154,24.72,1243.6,184.94695330250462
Rajasthan,2004,1724.5565384615384,24.74,1080.5,176.54035590421142
Rajasthan,2005,1622.4834615384614,24.58,1208.3,194.15448920484465
Rajasthan,2006,1786.5973076923078,25.06,1161.6,238.7763065652203
Rajasthan,2007,1650.253846153846,24.77,1179.3,259.28268439756005
Rajasthan,2008,1701.0430769230768,24.61,1118.0,283.79670255183413
Rajasthan,2009,1738.9228846153846,25.11,953.7,302.0420379647749
Rajasthan,2010,2349.699230769231,25.13,1215.5,253.33105543535876
Rajasthan,2011,2315.3407692307696,24.67,1116.3,128.67280691308093
Rajasthan,2012,2309.3128205128205,24.69,1054.7,131.0606643085711
Rajasthan,2013,2355.4265384615387,24.820000000000004,1092.5,136.6361060792586
Rajasthan,2014,2046.7033333333336,24.73,1045.2,148.0098748510449
Rajasthan,2015,2258.238846153846,24.91,1189.2,112.2047103314822
Rajasthan,2016,2553.289487179487,25.149999999999995,1198.8,128.20569612772405
Rajasthan,2017,2523.506794871795,24.790000000000003,1211.0,147.76915776901993
Tamil Nadu,1994,1700.9591666666665,24.46,1295.3,6.919554455445544
Tamil Nadu,1995,1390.4758333333332,25.29,1242.4,7.03345156555773
Tamil Nadu,1996,1451.7220833333333,24.55,1182.9,8.187600353243418
Tamil Nadu,1997,1655.0883333333334,24.1,1183.1,8.944368268434134
Tamil Nadu,1998,1926.2275,24.76,1208.8,9.250178760593219
